1 1, 2 1, 3 1, 4 1, 5 1, 6 1, 7 1, 8 1, 9 1, 10 1, 11 1, 12 1, 13 1, 14 1, 7 1, 8 1, 3 1, 4 1, 5 1, 6 1, 7 1, 8 1, 9 1, 10 1, 11 1, 12 1, 13 1, 14 1, 3 1, 4 1, 5 1, 6 1, 15 1, 16 1, 17 1, 18 1, 19 1, 20 1, 21 1, 22 1, 23 1, 24 1, 25 1, 26 1, 27 1, 20 1, 21 1, 22 1, 23 1, 24 1, 28 1, 20 1, 21 1, 22 1, 23 1, 24 1, 25 1, 26 1, 15 1, 16 1, 17 1, 18 1, 19 1, 20 1, 15 1, 16 1, 17 1, 18 1, 19 1, 20 1, 21 1, 22 1, 23 1, 24 1, 25 1, 26 1, 27 1, 20 1, 21 1, 22 1, 23 1, 24 1, 28 1, 20 1, 21 1, 22 1, 23 1, 24 1, 25 1, 26 1, 15 1, 16 1, 17 1, 18 1, 19 1, 20 1, 1 1, 2 1, 3 1, 4 1, 5 1, 6 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 30 1
7 1, 8 1, 31 1, 29 0, 32 1, 33 1, 34 1, 29 0, 29 0, 35 1, 29 0, 36 1, 29 0, 29 0, 34 1, 29 0, 31 1, 7 0, 8 1, 29 0, 34 1, 29 0, 29 0, 35 1, 29 0, 36 1, 29 0, 29 0, 31 1, 29 0, 32 1, 29 0, 37 1, 38 1, 39 1, 29 0, 40 1, 29 0, 29 0, 41 1, 42 1, 43 1, 44 1, 29 0, 40 1, 29 0, 29 0, 41 1, 42 1, 43 1, 45 1, 29 0, 29 0, 41 1, 42 1, 43 1, 44 1, 29 0, 37 1, 38 1, 39 1, 29 0, 40 1, 29 0, 37 1, 38 1, 39 1, 29 0, 40 1, 29 0, 29 0, 41 1, 42 1, 43 1, 44 1, 29 0, 40 1, 29 0, 29 0, 41 1, 42 1, 43 1, 45 1, 29 0, 29 0, 41 1, 42 1, 43 1, 44 1, 29 0, 37 1, 38 1, 39 1, 29 0, 40 1, 29 0, 29 0, 29 0, 31 1, 29 0, 32 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 46 1
34 1, 47 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 48 1, 29 0, 49 1, 34 1, 29 0, 29 0, 29 0, 29 0, 29 0, 49 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 50 1
49 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 7 1, 51 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 52 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 34 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 53 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 49 1, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 54 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 55 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 56 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 57 0, 51 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 30 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 58 0, 59 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 46 1
29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 60 0, 29 0, 29 0, 29 0, 60 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 61 0, 29 0, 29 0, 62 0, 63 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 29 0, 50 1
