1 0, 2 0, 3 0, 4 0, 5 0, 6 0, 7 0, 8 0, 9 0, 10 0, 11 0, 12 0, 13 0, 9 0, 10 0, 11 0, 14 1, 15 0, 15 0, 15 0, 16 1, 17 0, 18 0, 19 0, 20 0, 21 0, 22 0, 23 0, 9 0, 24 0, 25 1, 26 1, 27 1, 28 1, 29 1, 30 0, 31 0, 32 0, 24 0, 25 1, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 0, 37 0, 38 0, 39 0, 40 1, 41 1, 42 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 47 0, 48 0, 49 0, 50 1, 51 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 1, 52 1, 28 1, 53 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 1, 52 1, 28 1, 53 1, 28 1, 53 1, 28 1, 53 1, 28 1, 53 1, 28 1, 54 1, 24 0, 25 0, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 52 1, 28 1, 53 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 55 0, 24 0, 25 0, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 0, 43 0, 44 0, 45 0, 46 0, 56 0, 57 0, 58 0, 57 0, 59 0, 60 0, 61 0, 39 0, 62 0, 63 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 64 0, 65 0, 66 0, 67 0, 68 0, 69 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 70 0, 71 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
72 0, 73 0, 74 0, 75 0, 76 0, 77 0, 78 1, 79 1, 80 1, 81 1, 82 1, 83 1, 15 1, 80 1, 81 1, 82 1, 83 1, 15 0, 15 0, 15 0, 84 1, 85 1, 86 1, 87 1, 88 1, 89 1, 90 1, 91 1, 80 1, 92 1, 93 1, 94 1, 15 0, 15 0, 95 1, 96 1, 97 1, 98 1, 92 1, 93 1, 94 1, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 103 1, 104 1, 105 1, 106 1, 15 0, 99 1, 100 1, 101 1, 102 1, 107 1, 108 0, 109 1, 110 1, 111 1, 112 0, 113 0, 114 1, 115 0, 15 0, 99 1, 100 1, 101 1, 102 1, 107 1, 108 0, 109 1, 110 1, 15 0, 15 0, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 107 1, 108 1, 109 1, 110 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 116 1, 92 1, 93 1, 94 1, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 107 1, 108 1, 109 1, 110 1, 15 0, 15 0, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 107 1, 108 0, 109 1, 110 1, 116 1, 92 1, 93 0, 94 1, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 107 0, 108 0, 109 1, 110 1, 117 1, 28 1, 33 1, 34 0, 35 0, 36 0, 37 0, 105 0, 118 0, 105 0, 119 0, 120 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 121 0, 122 0, 123 0, 124 0, 125 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 126 0, 127 0, 120 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0
128 0, 129 0, 130 0, 131 0, 132 0, 133 0, 134 1, 15 0, 15 0, 15 0, 135 1, 136 1, 15 0, 15 0, 15 0, 135 1, 136 1, 15 0, 15 0, 15 0, 137 1, 138 1, 15 0, 15 0, 139 0, 140 1, 141 1, 15 0, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0, 144 1, 145 1, 15 0, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0, 146 0, 147 1, 15 0, 15 0, 148 0, 149 0, 150 0, 151 0, 15 0, 146 0, 147 1, 15 0, 15 0, 152 1, 153 1, 154 1, 15 0, 155 1, 156 0, 157 0, 158 1, 159 0, 15 0, 146 1, 147 1, 15 0, 15 0, 152 0, 153 1, 154 1, 15 0, 15 0, 15 0, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 152 0, 153 1, 154 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 142 0, 143 1, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 152 0, 153 1, 154 1, 15 0, 15 0, 15 0, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 152 1, 153 1, 154 1, 15 0, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 152 1, 153 1, 154 1, 15 0, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 160 1, 30 0, 31 0, 38 0, 39 0, 161 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 162 0, 163 0, 164 0, 165 0, 166 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 167 0, 168 0, 69 0, 15 0, 15 0, 15 0, 15 0, 15 0, 169 0
170 0, 171 0, 172 1, 173 1, 174 1, 175 1, 176 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 177 1, 178 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 179 0, 180 0, 181 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 182 1, 183 1, 184 1, 185 1, 41 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 146 0, 147 1, 15 0, 15 0, 95 1, 96 1, 97 1, 186 1, 105 0, 187 0, 120 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 70 0, 188 0, 189 0, 190 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 169 0, 191 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 192 0
193 0, 194 0, 195 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 196 0, 197 0, 198 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 64 1, 199 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 144 1, 145 1, 15 0, 200 1, 201 1, 48 0, 63 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 126 0, 202 0, 203 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 204 0, 205 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 206 0
207 0, 208 0, 209 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 210 0, 211 0, 212 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 121 1, 213 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 177 1, 178 1, 15 0, 15 0, 111 1, 112 0, 214 0, 215 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 167 0, 216 0, 115 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 169 0, 217 0, 203 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 218 0
219 0, 220 0, 221 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 222 0, 223 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 162 1, 224 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 155 1, 156 0, 157 0, 225 0, 120 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 169 0, 226 0, 227 0, 228 0, 229 0, 230 0, 231 0, 228 0, 229 0, 230 0, 231 0, 228 0, 229 0, 232 1, 15 0, 15 0, 15 0, 15 0, 204 0, 233 0, 115 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 234 0
235 0, 236 0, 237 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 238 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 239 0, 240 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 70 1, 241 1, 120 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 182 1, 183 1, 184 0, 226 0, 242 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 204 0, 243 0, 24 0, 25 0, 26 1, 27 1, 28 1, 33 1, 34 0, 35 0, 36 1, 244 1, 28 1, 245 1, 15 0, 246 1, 247 0, 248 0, 36 0, 249 0, 250 0, 231 0, 228 0, 229 0, 230 0, 231 0, 228 0, 229 0
251 0, 252 0, 253 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 238 0, 254 0, 238 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 255 0, 256 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 257 0, 258 0, 15 0, 15 0, 15 0, 15 0, 126 1, 259 1, 69 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 200 1, 201 1, 260 0, 242 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 169 0, 261 1, 262 1, 92 1, 93 1, 94 1, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 15 0, 15 0, 15 0, 15 0, 99 1, 100 1, 101 1, 102 1, 160 1, 30 0, 31 0, 32 0, 24 0, 25 0, 26 1, 27 1, 28 1
263 0, 264 0, 265 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 266 0, 267 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 239 0, 268 0, 269 0, 270 0, 15 0, 15 0, 271 0, 272 0, 15 0, 15 0, 273 0, 274 0, 15 0, 15 0, 15 0, 15 0, 167 0, 275 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 111 1, 112 0, 113 0, 276 0, 41 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 204 0, 277 1, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 146 1, 147 1, 15 0, 15 0, 95 1, 96 1, 97 1, 98 1, 92 1, 93 1, 94 1, 15 0, 15 0
278 0, 279 0, 280 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 281 1, 282 1, 283 1, 284 1, 285 1, 282 1, 283 1, 284 1, 285 1, 282 1, 283 1, 284 1, 285 1, 282 1, 231 1, 228 1, 229 1, 230 1, 231 1, 228 1, 229 1, 232 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 255 0, 286 0, 287 0, 288 0, 15 0, 15 0, 289 0, 290 0, 291 0, 15 0, 292 0, 293 0, 294 0, 295 0, 296 0, 297 0, 169 0, 298 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 155 1, 156 0, 157 0, 299 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 300 0, 301 1, 302 1, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 15 0, 144 1, 145 1, 15 0, 15 0, 15 0, 142 1, 143 1, 15 0, 15 0
