  name World4
  file ./world4_transparencia.bmp
  screen_orig_x 1024
  screen_orig_y 576
  tiles_orig_size_x 8 
  tiles_orig_size_y 8 
  screen_tiles_x 568  
  screen_tiles_y 568  
  tiles_new_size_x  32 
  tiles_new_size_y  32 
  num_scroll_planes_back 0
  num_scroll_planes_front 0
  map 
1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 1 0, 2 0, 3 0, 4 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 5 0, 6 0, 7 0, 8 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
10 0, 11 0, 10 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 12 1, 13 1, 10 1, 14 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 15 0, 14 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 16 0, 17 0, 15 0, 14 0, 15 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
18 0, 19 0, 20 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 21 1, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 22 0, 23 0, 24 0, 25 0, 14 0, 26 0, 27 0, 28 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
29 0, 30 0, 31 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 31 1, 9 0, 9 0, 9 0, 32 0, 33 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 32 0, 33 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 32 0, 33 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 32 0, 33 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 32 0, 33 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 32 0, 33 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 34 0, 35 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 34 0, 35 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
36 0, 30 0, 37 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 38 0, 39 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 40 1, 9 0, 9 0, 9 0, 41 0, 42 0, 9 0, 9 0, 43 0, 44 0, 9 0, 9 0, 41 0, 42 0, 9 0, 9 0, 43 0, 44 0, 9 0, 9 0, 41 0, 42 0, 9 0, 9 0, 43 0, 44 0, 9 0, 9 0, 41 0, 42 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 42 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 42 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 45 0, 46 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 45 0, 46 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
47 0, 48 0, 10 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 49 0, 50 0, 9 0, 9 0, 9 0, 9 0, 51 0, 52 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 10 1, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 54 0, 55 0, 56 0, 57 0, 9 0, 41 0, 53 0, 9 0, 54 0, 55 0, 58 0, 57 0, 9 0, 41 0, 53 0, 9 0, 54 0, 55 0, 56 0, 57 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
18 0, 61 0, 20 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 62 0, 63 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 21 1, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 64 0, 65 0, 66 0, 67 0, 9 0, 41 0, 53 0, 9 0, 68 0, 65 0, 66 0, 67 0, 9 0, 41 0, 53 0, 9 0, 64 0, 65 0, 66 0, 67 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
29 0, 30 0, 31 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 69 0, 70 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 31 1, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 71 0, 72 0, 73 0, 74 0, 9 0, 41 0, 53 0, 9 0, 71 0, 72 0, 73 0, 74 0, 9 0, 41 0, 53 0, 9 0, 71 0, 72 0, 73 0, 74 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
36 0, 30 0, 37 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 75 0, 76 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 40 1, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 77 0, 78 0, 79 0, 80 0, 9 0, 41 0, 53 0, 9 0, 77 0, 78 0, 79 0, 80 0, 9 0, 41 0, 53 0, 9 0, 77 0, 78 0, 79 0, 80 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
47 0, 48 0, 10 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 81 0, 82 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 10 1, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 83 0, 84 0, 85 0, 86 0, 9 0, 41 0, 53 0, 9 0, 83 0, 84 0, 85 0, 86 0, 9 0, 41 0, 53 0, 9 0, 83 0, 84 0, 85 0, 86 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
18 0, 61 0, 20 1, 87 1, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 88 0, 89 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 90 1, 91 1, 92 1, 9 0, 9 0, 9 0, 21 1, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 41 0, 53 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 93 0, 94 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 59 0, 60 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0, 9 0
